epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2102.6,0.23924,2.8051,0.17683,0.23126,1.00439,0.99847,1,0.995,0.94133,0.88098,0.88235,0.82552,0.23723,0.37029,3.28045,0.15089,0.34251,0.6676,0.0016832,0.0016832,0.0016832
82,2129.49,0.24633,3.05584,0.17827,0.23891,0.981,0.99822,1,0.995,0.96092,0.91011,0.91176,0.87419,0.3434,0.40411,2.46773,0.15142,0.30415,0.73315,0.00167924,0.00167924,0.00167924
83,2153.68,0.2728,2.83857,0.17811,0.24351,1.01902,0.99847,1,0.995,0.94876,0.96911,0.97059,0.97951,0.51748,0.39662,2.0411,0.14968,0.25996,0.71437,0.00167528,0.00167528,0.00167528
84,2182.02,0.24082,2.79911,0.17399,0.23403,0.96837,0.99816,1,0.995,0.95008,0.79406,0.79412,0.7701,0.29624,0.4152,2.7271,0.16534,0.29885,0.70065,0.00167132,0.00167132,0.00167132
85,2208.1,0.22218,2.99987,0.17861,0.2156,0.99638,0.99847,1,0.995,0.9772,0.99847,1,0.995,0.54407,0.39646,2.08807,0.14206,0.31238,0.68316,0.00166736,0.00166736,0.00166736
86,2237.9,0.22957,2.46342,0.17497,0.22026,0.96167,0.99844,1,0.995,0.95518,0.99844,1,0.995,0.54951,0.36733,2.22327,0.15113,0.29547,0.66062,0.0016634,0.0016634,0.0016634
87,2263.49,0.21422,2.51656,0.16958,0.20851,0.96263,0.99819,1,0.995,0.95966,0.91008,0.91176,0.87505,0.31308,0.34486,2.76258,0.15238,0.23747,0.63311,0.00165944,0.00165944,0.00165944
88,2288.07,0.24694,2.86244,0.16853,0.21782,1.01215,0.99806,1,0.995,0.97424,0.93931,0.94118,0.94474,0.41641,0.34563,1.98385,0.15368,0.28198,0.62352,0.00165548,0.00165548,0.00165548
89,2311.98,0.2238,2.42884,0.17224,0.21566,0.96789,0.99739,1,0.995,0.96038,0.90939,0.91176,0.84887,0.39536,0.26755,1.66903,0.14161,0.25612,0.57429,0.00165152,0.00165152,0.00165152
90,2337.37,0.23434,2.6905,0.17566,0.22613,0.96944,0.99791,1,0.995,0.96361,0.99791,1,0.995,0.50335,0.32335,1.76919,0.13691,0.25118,0.65898,0.00164756,0.00164756,0.00164756
91,2361.04,0.22174,2.50417,0.17488,0.21774,0.98669,0.99818,1,0.995,0.95673,0.99818,1,0.995,0.53317,0.36716,1.42967,0.13739,0.25886,0.66715,0.0016436,0.0016436,0.0016436
